Gasoline_Demand,Diesel_Demand,Crude_Price,Avg_Temperature,Holiday_Flag,Industrial_Activity_Index,Day_of_Week,Month,Lag_1,Lag_7,Lag_14,RollingMean_7,RollingMean_30
556730,384074,77.60795991821962,89.81026379217252,0,91.0541957970688,3,1,530608.0,599041.0,441090.0,517979.0,510722.6
484478,289599,65.89810106825136,29.319718820549426,0,90.7513245908796,4,1,556730.0,405311.0,467221.0,529288.5714285715,509473.26666666666
522537,355834,73.12771014437246,13.228066148775977,0,104.34362894093516,5,2,484478.0,503355.0,464820.0,532028.8571428572,508662.26666666666
549503,211046,77.36077464695501,42.89532143956688,0,100.76189328242222,6,2,522537.0,584779.0,400769.0,526989.4285714285,509247.9666666667
530523,316021,63.54401718718469,20.406453586315756,0,100.17411968432532,0,2,549503.0,485305.0,459735.0,533449.1428571428,510142.26666666666
402747,359841,68.82447810844845,11.79407113296441,0,94.86249060845336,1,2,530523.0,559765.0,594027.0,511018.0,506237.86666666664
523855,384374,83.92901176254955,38.83414617131889,0,104.89501463259845,2,2,402747.0,530608.0,464925.0,510053.28571428574,506690.76666666666
590222,354222,89.42652456956759,72.69906008601892,0,93.36473158216984,3,2,523855.0,556730.0,599041.0,514837.85714285716,511201.9666666667
465725,399319,99.933900455718,55.29445529800567,0,93.7986948732204,4,2,590222.0,484478.0,405311.0,512158.85714285716,508814.9
529981,204853,97.3245332537423,35.022239136828325,0,99.21424342696552,5,2,465725.0,522537.0,503355.0,513222.28571428574,507538.73333333334
484654,320900,85.70260798140767,62.34736043941758,0,95.72559724223882,6,2,529981.0,549503.0,584779.0,503958.14285714284,507443.93333333335
566845,352864,76.84992213176288,28.561454424704856,0,94.94925962466291,0,2,484654.0,530523.0,485305.0,509147.0,509247.86666666664
519346,259129,85.4470945883293,11.150515685766802,0,102.90475289106664,1,2,566845.0,402747.0,559765.0,525804.0,509015.26666666666
467435,314130,91.42606472320928,71.14827091491419,0,103.0194349043709,2,2,519346.0,523855.0,530608.0,517744.0,505423.0
